lyrics,artist
" This is for you, this is for you You're the one worth waiting for, you're all I ever needed in this life Let's take a look back, so we can see What it took to bring us here and we're So reminded of better days When we were both happy This is for you, this is for you You're the one worth waiting for, you're all I ever needed in this life This is for you, this is for you You're the one worth waiting for, you're all I ever needed in this life Words can't express the impact you've Made on me and in my entire life And all I can say is that I love you For everything it served out This is for you, this is for you You're the one worth waiting for, you're all I ever needed in this life This is for you, this is for you You're the one worth waiting for, you're all I ever needed in this life 'Cause I try so hard to make this right You've got my back on the wall! After all you've put me through, my friends still stay true After all you've put me through, my friends still stay true Your reign is over, why couldn't you prove me wrong? Your reign is over, why couldn't you prove me wrong? ",A Day to Remember
 Ch-ch-ch-ow! Lets take them back to the days When we were family My breath was your breath when we were young I think it's funny how the times have changed Throw being jealous in the mix And now all I know of you is a name Couldn't have came at a better time This ends right now! We gave all of ourselves To entertain you Were only hurting us We gave all of ourselves To entertain you Were only hurting ourselves I'm a god amongst the ants and your girlfriends And you act like you don't even know It's cause you haven't been here for too long I called this right from the start I turn my back for one second Now all I hear is a shot in the dark Use my name like you know me You're all the same Keep running your mouth! Keep running your mouth! Oh! We gave all of ourselves To entertain you Were only hurting us We gave all of ourselves To entertain you Were only hurting ourselves Hurting ourselves Hurting ourselves Hurting ourselves ,A Day to Remember
" Don't forget that this is a choice Pick your poison Live with remorse Don't forget that this is a choice Pick your poison Live with remorse I could burn a hole with my eyes that cuts straight through the skin No more love, no more resolution It's getting harder bearing the darkness within I gotta let it out I'm gonna let it I can feel your bad vibrations All around me All consuming Corrupting all that I am This pain is a sickness looming over me, and I can't escape it Casting shadows that continue to shape who I am on any given day It's like a fog surrounds me applying pressure within Weighing me down, seeing in double vision It hits so hard I stu- stu- stutter my speech Ya go kinda cold inside Dancing on thin ice I can feel your bad vibrations All around me All consuming Corrupting all that I am This pain is a sickness looming over me, and I can't escape it Casting shadows that continue to shape who I am on any given day This pain is a sickness looming over me, and I can't escape it Casting shadows that continue to shape who I am on any given day Toxic Toxic Toxic Toxic ",A Day to Remember
" What'd you expect from me? It's not my fault you'll never be happy Just 'cause you're right doesn't mean I'm wrong Our days were numbered and we knew it all along Can't you let things be? Now all that's left is misunderstandings Spent my nights wishing I was gone My dad was right, we will never get along So I'm done, 'cause things could never be the same This is the last time, this is the last time you'll ever burden me I can't believe you got the best of me I can't believe I trusted every word you said Stretched myself out way too far Now I can see you for who you are I can't believe you got the best of me I can't believe I trusted every word you said It's all finally making sense You took what's left of my innocence Oh no I can't believe you got the best of me Can't you act your age? Is it that hard to say what you're thinking? Lately my life's moving way too fast You'd drag me down if I'd let you hold me back What a mess you've made And you hide from it at the bars you frequent Blamed myself avoiding time this cost But looking back you only learn from what you lost So I'm done, 'cause things could never be the same This is the last time, this is the last time you'll ever burden me ",A Day to Remember
" I wonder if you’ll notice If they lock me up and throw away the key Try to be open minded You’ve got a lot to learn in the ways of me You always got to say something I’m none of your concern, but you won't listen at all You know I’d rather say nothing And just be proud of myself for tearing down these walls When you fall, I’ll be the only one who looks away When you call, I’ll be the first to tell you I can’t stay It’s all over, I found a better way To help keep you from me I’m better off this way, woah-oh, woah-oh-oh I'm better off this way, woah-oh, woah-oh-oh You gotta keep this coming Tell it like you know it, but you don’t know nothing Your call, we can settle this like gentlemen Or meet me out the back to end it all and start again My whole life’s spent waiting Ever since I can remember been anticipating your fall And God, let it be a long one Can’t let go of my grudge till I know you’re done When you fall, I’ll be the only one who looks away When you call, I’ll be the first to tell you I can’t stay It’s all over, I found a better way To help keep you from me I’m better off this way, woah-oh, woah-oh-oh I'm better off this way, woah-oh, woah-oh-oh You want it, you’ve got it You’ve always been such a waste of time You want it, you’ve got it A friend of yours is no friend of mine You want it, you’ve got it When will you act your age You want it, you’ve got it You’re the reason things have to change ",A Day to Remember
" When I wake up, the cross above my bed Hangs like a question mark above my head My good intentions led me to dead ends Yet again (Yet again) Yet again I tried to help you see what you can't see But your reflection blind to reality Like a shadow running from the sun rising Finally, it dawned on me Bloodsucker You always kill my vibe Gone from bad to worse and no, it's not alright Bloodsucker Try to bleed me dry Go and leech off someone else for the rest of your life Bloodsucker Bloodsucker Go and leech off someonе else for the rеst of your life You leave a black cloud everywhere you've been Wreck a good day and disappear again Just like clockwork, I know I can depend on you Being you Bloodsucker You always kill my vibe Gone from bad to worse and no, it's not alright Bloodsucker Try to bleed me dry Go and leech off someone else for the rest of your life Bloodsucker Bloodsucker Go and leech off someone else for the rest of your life ",A Day to Remember
" I'm so afraid, I can't hold on this time Thats why I write, to let you know Just what goes on 'Cause this is me, and everything I've dreamed And you know that I can't just settle for anything Just once more can we pretend that everything is okay And that we are all happy Breathe hope in me I need you I try so hard to make this work in my life I still believe in you Play that faster and maybe they will move to our sound This is the way its supposed to be Coming together, on the dance floor will You light the scene Sing along This is your favorite song And we'll play along 'Cause you're the reason I'm alive Close your eyes Sit back and relax, we'll be okay Time and time again I'll pray you're looking back By the wake So here we, we are, again Close your eyes Sit back and relax, we'll be okay Time and time again I do hope you come back By the wake Close your eyes Sit back and relax, we'll be okay Time and time again I'll pray you're looking back By the wake By the wake Awake By the wake ",A Day to Remember
" Some call it karma, some call it fate Laws of attraction take on new weight I sit in silence and hope for change Reckless abandon of what we take for granted (Of what we take for granted) No escape, no future No luck lost on a loser No escape, no future Saddle up, boys, we're headed for the brick wall This is a cycle, this is a curse Divine intervention can't get much worse Gain some momentum and cut the brakes What doеsn't kill us will find another way (Will find another way) No escapе, no future No luck lost on a loser No escape, no future Saddle up, boys, we're headed for the brick wall No escape, no future No luck lost on a loser No escape, no future Saddle up, boys, we're headed for the brick wall If you're up, I'm down If it's wet, I'll drown You can fill your cup And I'm always gonna pour it out If you wanna take a ride That's gonna kill your night There's room for two And we're headed for the brick wall ",A Day to Remember
" What a waste, I see you now and then But mostly we pretend We're not more strangers than we're friends Then we say what we need to say To try and get away from the tension we create Why can't we say the things, the things we wish we would? Why can't we laugh the way, the way we know we should? Fall under the weight of all the pressure that's misplaced Flaws that I embrace Everybody sees your head’s hung low They don't ask, they don't wanna know us I'll be the one, I'll be your spark! I'll be your light led through the darkness Everybody sees your head’s hung low They don't ask, they don't wanna know us I'll be the one, I'll be your spark! I'll be your light led through the darkness I get I get I get so misunderstood Something changed the way we interact Now we can't get it back Another relic of the past (Relic of the past) Makes you think, did I ever know you at all? Follow until I fall Vultures circling in the sun, the sun, the sun, the sun, the sun Why can't we say the things, the things we wish we would? Why can't we laugh the way, the way we know we should? Fall under the weight of all the pressure that's misplaced Flaws that I embrace ",A Day to Remember
" I've spent so much time trying to fix your life That I forgot about mine This time I'm putting my foot straight through the floor You won't be walking through any of my doors anymore So, tell me, what's so wrong with me That you could leave so easily? And you threw this all away For the chance to leave me She makes me happy, she sparks a light inside You've never failed to blow out Look at everything, look at all that you've become... Nothing more than a memory So, tell me, what's so wrong with me That you could leave so easily? And you threw this all away For the chance to leave me You make me sick With every move you make When will you find your place in this world? 'Cause it will never be beside me again! So, tell me, what's so wrong with me That you could leave so easily? And you threw this all away For the chance to leave me So, tell me, what's so wrong with me That you could leave so easily? And you threw this all away For the chance to leave me ",A Day to Remember
" Fuck yeah! Remember way back when? They said this life was a dream Well it still is, I never wanna wake Standing in my backyard at our old practice space Hard to hold back the tears from streaming down my face That was then, this is now You can't run before you go learn how, and you won't This is our corner of the world Where we can come to be ignored This is our point where we return This is where I came from This is where I came from Remember way back when? This place seemed bigger to me Learned how to play guitar, and made my mom watch me We always knew back then, just where I'd be right now We never questioned it, was more like when and how That was then, this is now You can't run before you go learn how, and you won't This is our corner of the world Where we can come to be ignored This is our point where we return This is where I came from This is what made us who we became Where they know me, not just my name There's not another place the same This is where I came from This is where I came from ",A Day to Remember
" Don't point your finger, baby This isn't the best time for you to test me ""This wasn't just anyone here,"" she said, if it wasn't you It's someone you would lie for, tell me, who would you lie for? Let's live the lie, I'm still singing ""Whoa!"" Don't say you won't let it go, 'cause you'll never know You'll never know! I'm still singing ""Whoa!"" Don't say you won't let it go, 'cause you'll never know Don't be so quick to blame a friend When the smoke is cleared, there'll be nobody left ""Don't be so sure of yourself,"" he said, if this was me He would never hear your name, heart means everything Let's live the lie, I'm still singing ""Whoa!"" Don't say you won't let it go, 'cause you'll never know You'll never know! I'm still singing ""Whoa!"" Don't say you won't let it go, 'cause you'll never know I'm alright with being a thief! I'm alright with being a thief! From the top of the world, we'll let them know That your biggest fear is letting go From the top of the world, we'll let them know That your biggest fear is letting go I'm still singing ""whoa..."" Don't say you won't let it go, 'cause you'll never know You'll never know! I'm still singing ""Whoa!"" Don't say you won't let it go, 'cause you'll never know ",A Day to Remember
" Let me find the way that I can make do Without circumstance, without follow through A man in desperation can't trust a troubled mind I'm building an empire, say I'm wrong I don't mind if it's all against one No room for weakness, I'll be gone forever Dear mother, as this noose is placed around my neck I'm reflecting on these past few years I spent trying to forget I'm regretting all this time spent half the world away What will the children sing, what will the children sing When I'm dead and buried? Dead and buried, dead and buried Dead and buried, dead and buried I can't fight it, I can't fight it I can't fight it, I've slipped through the cracks I hold nothing back Dear mother, as this noose is placed around my neck I'm reflecting on these past few years I spent trying to forget I'm regretting all this time spent half the world away What will the children sing, what will the children sing When I'm dead and buried? Dead and buried, dead and buried Dead and buried, dead and buried Never thought it'd be easy cause it's not if it's worth to have It'll pass you by You have a choice, be your own person, have your own voice So, let's set it off Dear mother, as this noose is placed around my neck I'm reflecting on these past few years I spent trying to forget I'm regretting all this time spent half the world away What will the children sing, what will the children sing When I'm dead and buried? Dead and buried, dead and buried Dead and buried, dead and buried ",A Day to Remember
" My friends are degenerates But I'd never change them Liars, cheats, and hypocrites Not the type for savin' Why do we tend to hurt one another? Dividin' up all the books by the covers Like it ain't hard enough simply bein' me (Like it ain't hard enough simply bein' me) Or could I sum you up just by what I see? (Or could I sum you up just by what I see?) In reality, everyone's a lot more complicated My friends are degenerates But I'd never change them Liars, cheats, and hypocrites Not the type for savin' Or so they say Or so they say I get that look more than I remember Turnin' your nose up while we're at dinner Like how can he afford somethin' that I want? (Like how can he afford somethin' that I want?) Sold all your empathy, tell me what it cost (Sold all your empathy, tell me what it cost) Character is who you are when no one's watchin' My friends are degenerates But I'd never change them Liars, cheats, and hypocrites Not the type for savin' ",A Day to Remember
" I took some time away For understanding of what brought us here today Oh, you'll be the end of me I'm never happy like we were happy I'm never sad like we were sad Oh, you'll be the end of me You know me all too well And I can't suppress the memories You're gone and I can tell That I've lost more than you'll ever see Don't say that it's not fair That you're not the person you wanna be Cause oh, you'll be the end of me I know I wasn't perfect, but I kept trying 'til I forgot why I stayed Oh, you'll be the end of me Yeah, we lost all meaning, we lost the magic So good luck to you on your way Oh, you'll be the end of me You know me all too well And I can't suppress the memories You're gone and I can tell That I've lost more than you'll ever see Don't say that it's not fair That you're not the person you wanna be Cause oh, you'll be the end of me You'll be the end of me ",A Day to Remember
" At a certain speed on the interstate Everything looks the same The blurry green helps me meditate When everything's always changing I'm doin' buck 20 on I-75 , 75, 75 Just to see if I'm dead or alive Dead or alive, dead or alive 'Cause I know I got you And you know you got me We got everything we need We got everything we need I know I got you (I know I got you) And you know you got me We got everything we need We got everything we need I took a ride down the boulеvard To see where we usеd to hang It's worn down like the rest of us But that's a quick coat o' paint I'm doin' buck 20 on I-75, 75, 75 Just to see if I'm dead or alive Dead or alive, dead or alive 'Cause I know I got you And you know you got me We got everything we need We got everything we need I know I got you (I know I got you) And you know you got me We got everything we need We got everything we need ",A Day to Remember
" I won’t accept your fear Another stagnant year I'm pro-American but anti-politician They'll trade you a voice For an illusion of choice Truth hits like a god damn premonition Inroads to the hangman's noose We got a lot to lose Is this where you wanna be? Exhumed they're not through with you until you're left exposed Is this who you wanna be? Take what's been given or have none The only claim of the workers in song Get back in line you've all been warned ""We was beat when we was born"" Inroads to the hangman's noose We got a lot to lose Is this where you wanna be? Exhumed they're not through with you until you're left exposed Is this who you wanna be? Is this who you wanna be? Is this who you wanna be? Is this who you wanna be? Like a shark that's combing the surface We got a taste for blood Don't believe what the pacifist tells you No war, no peace Reign! ",A Day to Remember
" We welcome you to the second chapter Thanks for turning the other page We acknowledge you as the only reason For the progress that we've made You're a constant reminder We came, we saw, we conquered Everything has come so Far from where we were before We'll keep this short and sweet So I'll get to the point! My friends come first, that's the bottom line! My friends come first, that's the bottom line! My friends come first, that's the bottom line! My friends come first, that's the bottom line! That's the bottom line! Here's to the future, never getting older When the tables do turn, where will you be? Pick up your feet! ",A Day to Remember
" I feel like a runaway, seeing the light of day For the first time , I'm drawing the line It's hard to care when you know it all In slow motion, I watch you fall Like you're blind , thoughts poison the mind I always bend, when it comes to you I think you'll change, but you never do You never do, I enable you Let me down, let me down like only you know how Shut me out, shut me out, forgive and forget Forgive and forget Let me down, let me down, like only you know how Shut me out, shut me out, forgive and forget Forgive and forget I wish that I could say this to your face Something different, something brave Wish I would, but I never could I feel you slowly pulling me in I try to help, but it's sink or swim And you're a weight - there's comfort in pain Let me down, let me down like only you know how Shut me out, shut me out, forgive and forget Forgive and forget Let me down, let me down, like only you know how Shut me out, shut me out, forgive and forget Forgive and forget You've drained all the love I had All I had for you Yeah you've drained all the love I had All I had for you All I had for you Let me down, let me down like only you know how Shut me out, shut me out, forgive and forget Forgive and forget Let me down, let me down, like only you know how Shut me out, shut me out, forgive and forget Forgive and forget ",A Day to Remember
" I sit and wait Countin' the minutes just like yesterday Trackin' my miracle, we must be runnin' late It read ""Returned to sender,"" I can't catch a break Doin' my same old same Luck don't let me down 'Cause I've paid my dues in spades Double or nothin' now Wait 'til I get some fuck you money Wait 'til I get some fuck you money I'd leave today I'd change my number, wouldn't hesitate And y'all can tell the boss, ""Fuck you, I resignate"" Auto-reply permanеntly on holiday Take me off your chain Luck don't let mе down 'Cause I've paid my dues in spades Double or nothin' now Wait 'til I get some fuck you money Wait 'til I get, wait 'til I get some Wait 'til I get some fuck you money Wait 'til I get some fuck you money Wait 'til I get some fuck you money Wait 'til I get some fuck you money Wait 'til I get, wait 'til I get Get, get, get ",A Day to Remember
" Hello, you don't seem like yourself At least from what I knew, you're somebody else Oh no, it's so much harder to take It took me four years to realize you're a fake But I won't lie, I'd forfeit all the rest of my time to patch things up Just to take back what you stole of mine Good things don't end, they end badly We've been here before and I'm all outta luck It's not workin' out, we're just not workin' out You know, I grew so tired of the games you consistently played, where I took all the blame It's true, you're just unhappy with you You drink every night, so you can't think things through And I, I tried, to give you peace of mind One day you'll wake up, and realize what's passed you by Good things don't end, they end badly We've been here before and I'm all outta luck It's not workin' out, we're just not workin' out Good things don't end, they end badly You got a lot of nerve, and I'm not catching up It's not workin' out, we're just not workin' out ",A Day to Remember
" Have faith in me 'Cause there are things that I've seen I don't believe So, cling to what you know and never let go You should know things aren't always what they seem I said I'd never let you go, and I never did I said I'd never let you fall, and I always meant it If you didn't have this chance, then I never did You'll always find me right there, again I'm going crazy 'Cause there are things in the streets I don't believe So, we'll pretend it's alright (Pretend it's alright) And stay in for the night Oh, what a world, I'll keep you safe here with me (With me) I said I'd never let you go, and I never did I said I'd never let you fall, and I always meant it If you didn't have this chance, then I never did You'll always find me right there, again I said I'd never let you go, and I never did I said I'd never let you fall, and I always meant it If you didn't have this chance, then I never did You'll always find me right there, again They've got me on the outside looking in But I can't see at all With the weight of the world on my shoulders They just wanna see me fall They've got me on the outside looking in But I can't see at all With the weight of the world on my shoulders They just wanna see me fall ",A Day to Remember
" -didn't have this chance, then I never did You'll always find me right there, again Say it, Say It Keep You, Keep You, Safe here with me Keep You, Keep You, Safe here- ",A Day to Remember
" For once my eyes are open to you and everything you've said For once your web of lies is in the open I gave you everything I had, until I had nothing left Now, still you act as if I'm just a burden, I've finally let go! Let go, let go! Stay silent at least for now And let me move on, 'cause I'm so done Playing these games with my heart, I've been around the world And back for you, and now it's time to choose I've been swallowed by this wreck that you call your life I'm damaged from the inside, I've been broken Don't threaten me with what you think I feel If you could read my mind, you'd be in tears I'm sick of your excuses you hold above me I've finally come to terms with what I am I'm nothing in your eyes, and this will not change I'm living in a dream Stay silent at least for now And let me move on, 'cause I'm so done Playing these games with my heart, I've been around the world And back for you, and now it's time to choose And I'll close my eyes, and dream of a better time When I'll be finally past this and I'll be happy on my own I've done all I can, and I've still been cast aside, all I ever wanted to Be was be the one who would wipe tears from your eyes, but I Guess I'll play second best, to a world that will never care about You, you'll never understand, you're just another pretty face You'll tell me that you care, and then run straight back to him I can hear your voice of treason from a mile away ",A Day to Remember
 Here's to the past Let's all think back on what brought us here This is my grasp on what is real Don't tell me how I feel With all that's passed I can't relate With myself from day to day Why does everything seem so far away to me There's no turning back from here I've got to get away from everyone who's left Everyone who's left I'll tell the saddest story Of how we made it through this past year I'll tell the saddest story Of how we made it through this past year They said we'd walk away You'll never make it if you can't speak for yourself They said we'd fade away We've all been down this path before You're trapped in this town And it wears you down When we leave today then maybe you'll understand This constant struggle isn't always in the palm of my hand There's no turning back from here I've got to get away from everyone who's left Everyone who's left I'll tell the saddest story Of how we made it through this past year I'll tell the saddest story Of how we made it through this past year They said we'd walk away You'll never make it if you can't speak for yourself They said we'd fade away ,A Day to Remember
" I need to know what your silence says It's like I'm trapped on an island in my head Waitin' on a hurricane to pass me by This natural pattern is Like a rip current pullin' me back in Somethin' I can't escape A wave that never breaks A million different voices, so many different sounds The weight of expectation tries to kick me when I'm down I wrote this to remind myself the next time I'm freakin' out If I'd just take a minute to look around I'd see I reached my limit I'm on the еdge and scared of heights I gеt it It's hard to practice what you preach When life is a beach I'm high divin' Tryin' to read your language is Like a map where the X is in quicksand It's written across your face And I start to sink There's a ringin' inside my head Like a cannon firin' from both ends The static I'm drownin' in Seems like it never ends A million different voices, so many different sounds The weight of expectation tries to kick me when I'm down I wrote this to remind myself the next time I'm freakin' out If I'd just take a minute to look around I'd see I reached my limit I'm on the edge and scared of heights I get it It's hard to practice what you preach When life is a beach I'm high divin' ",A Day to Remember
" Been through a lot in the last year It's like everything I love is slipping away And every time I come home Some more of me it isn't there I gotta get it together I need to do things for myself I've given everything, but still you take more from me I need some room to breathe Come on, come on, you know this isn't what we planned on Come on, come on, tell me we'll be okay (We'll be okay!) Let's go back, let's go back To a time where I still felt I had a family This isn't what I remember Everyone's looking out for just themselves If need be, I'll be happy to leave Just be warned, I'll be taking most of you with me I see straight through That smile straight through that painted face Don't think that I can't tell Which one of you is against me ",A Day to Remember
" Everything around me seems so much Different than where I'm from And at this rate I think my fate's been sealed This life's so unpredictable We'll go Continue to live a life that No one knows Where's this gonna go? Right here, right now, this is The beginning of the end (Hey! Hey! Hey! Hey!) And I won't sing one single thing until we can get this right I'm moving on, I'm moving on Hey Mom, I wrote you some soft songs And tell Dad I'm just fine We had to choose, we made our moves And now, we got to go, go Everything about me seemed so much Different when I was young I couldn't wait to take my place Five years have passed, good God, have I been gone? So, why? I've never felt so alone in My whole life Time's not on my side Right here, right now This is the beginning of the end (Hey! Hey! Hey! Hey!) And I won't sing one single thing until we can get this right I'm moving on, I'm moving on Hey Mom, I wrote you some soft songs And tell Dad I'm just fine We had to choose, we made our moves And now, we got to go ",A Day to Remember
" Everything around me seems so much different than where I'm from And at this rate I think my fate's been sealed This life's so unpredictable We'll go Continue to live a life that no one knows Where's this gonna go? Right here, right now This is the beginning of the end And I won't sing a single thing until we can get this right I'm moving on I'm moving on Hey mom, I wrote you some soft songs And tell dad I'm just fine We had to choose We made our moves And now we got to go Go Everything about me seemed so much different when I was young I couldn't wait to take my place Five years have passed Good God have I been gone? So why? I've never felt so alone in my whole life Signs aren't on my side Right here, right now This is the beginning of the end And I won't sing a single thing until we can get this right I'm moving on I'm moving on Hey mom, I wrote you some soft songs And tell dad I'm just fine We had to choose We made our moves And now we got to go And why's this make me so nervous? Why does everything go wrong? And why's this make me so nervous? Why does everything go wrong? ",A Day to Remember
" Let's go! In the beginning, I was upfront Nothing to think about, you'd always hear me out We made a pact and never gave up When everything would change, we'd always stay the same Something went wrong along the way You come around and there's nothing left to say It's like we're strangers anyway What more could you ask of me? It's been a long time coming But everyone's going to hear me out If I leave, bet you'll wish I stayed Make you regret all the things you said to me You know that time can't help us now If I leave this, if I leave this way I've always been a man of action Never let anything keep a hold of me Could always tell when something's missing Like I knew everything, except for you and me I can't make you want to stay God knows I tried, but this broke under our weight I still gave it everything I guess I'll never catch my break It's been a long time coming But everyone's going to hear me now If I leave, bet you'll wish I stayed Make you regret all the things you said to me You know that time can't help us now You know that time can't help us now If I leave, I shall move away And try to right all the wrongs we've ever made Won't let your problems weigh me down If I leave this, if I leave this way ",A Day to Remember
